pm2.5,pm10,no,no2,nox,nh3,co,so2,o3,benzene,toluene,aqi,aqi_bucket,year,month,day,day_of_week,week_of_year,pm_ratio,nox_total
53.71,60.15,11.02,13.43,20.48,19.11,10.19,3.21,22.08,0.91,3.45,226.0,Poor,2015,3,2,0,10,0.8783319705641864,24.45
83.49,112.1,16.23,23.75,30.88,16.04,11.72,5.07,20.83,2.13,8.11,266.0,Poor,2015,3,3,1,10,0.7381962864721485,39.980000000000004
91.07,139.15,13.71,24.28,28.73,17.44,10.64,4.68,25.83,1.6,8.05,200.0,Moderate,2015,3,4,2,10,0.6498037816625044,37.99
106.57,196.19,25.97,31.12,45.48,28.86,9.36,5.97,32.88,3.27,15.12,275.0,Poor,2015,3,5,3,10,0.5404432273441858,57.09
101.75,163.14,20.56,26.59,34.17,32.04,10.55,5.96,33.67,2.45,9.31,322.0,Very Poor,2015,3,6,4,10,0.6198976483489704,47.15
77.57,90.54,12.07,19.15,24.66,16.83,9.48,5.18,23.09,1.68,6.31,216.0,Poor,2015,3,7,5,10,0.8473891195105964,31.22
63.24,80.2,13.52,20.35,27.44,16.12,8.19,3.98,20.71,1.69,6.09,108.0,Moderate,2015,3,8,6,10,0.7788177339901478,33.870000000000005
76.62,117.38,10.49,18.21,22.84,15.2,9.02,4.2,22.85,1.12,4.32,197.0,Moderate,2015,3,9,0,11,0.6472377090724786,28.700000000000003
86.7,150.92,11.44,18.82,25.78,18.88,7.98,3.84,25.87,1.51,5.62,238.0,Poor,2015,3,10,1,11,0.5706951026856241,30.259999999999998
104.29,176.2,14.94,25.63,32.66,29.48,10.76,6.3,29.62,2.32,7.74,274.0,Poor,2015,3,11,2,11,0.5885440180586908,40.57
115.93,203.75,18.48,32.29,37.84,30.72,11.3,7.03,35.05,2.9,12.42,315.0,Very Poor,2015,3,12,3,11,0.5662026862026862,50.769999999999996
108.66,173.89,15.61,30.75,37.02,23.31,10.23,10.65,34.05,3.41,14.88,307.0,Very Poor,2015,3,13,4,11,0.62130482017268,46.36
67.94,105.29,14.3,29.78,32.1,29.21,9.18,10.14,23.39,2.42,9.14,208.0,Poor,2015,3,14,5,11,0.6391946561294571,44.08
38.89,46.68,9.49,17.76,21.45,30.59,8.23,4.25,22.0,1.03,4.45,165.0,Moderate,2015,3,15,6,11,0.8156459731543624,27.25
45.39,74.14,10.2,17.14,22.27,33.16,7.87,8.8,25.55,1.05,4.83,188.0,Moderate,2015,3,16,0,12,0.6040723981900452,27.34
55.55,104.33,12.18,20.96,25.28,39.8,10.45,7.19,23.11,1.55,6.39,217.0,Poor,2015,3,17,1,12,0.527390107281876,33.14
50.59,95.56,9.32,16.6,21.74,39.16,7.83,3.6,27.5,1.11,4.42,191.0,Moderate,2015,3,18,2,12,0.5239229494614748,25.92
69.51,136.67,14.05,23.77,30.29,36.77,7.89,4.97,27.07,3.23,8.67,240.0,Poor,2015,3,19,3,12,0.5049030289823492,37.82
96.62,168.0,19.15,29.04,37.12,35.07,9.59,6.66,29.01,5.67,17.61,229.0,Poor,2015,3,20,4,12,0.571715976331361,48.19
96.28,172.91,20.18,29.21,37.78,32.01,8.82,7.31,25.97,7.79,16.65,248.0,Poor,2015,3,21,5,12,0.553619688344546,49.39
72.2,122.12,9.39,20.27,23.15,32.52,8.5,4.4,25.48,2.67,6.07,204.0,Poor,2015,3,22,6,12,0.5864197530864198,29.66
78.47,131.42,12.57,23.04,28.5,32.13,8.6,4.07,27.1,5.45,13.55,271.0,Poor,2015,3,23,0,13,0.5925842017822082,35.61
91.87,179.36,21.3,30.01,40.31,31.79,10.1,7.35,34.78,9.72,16.21,290.0,Poor,2015,3,24,1,13,0.5093701485917055,51.31
107.26,201.08,21.52,33.82,42.98,27.92,11.69,11.82,45.78,4.93,11.03,340.0,Very Poor,2015,3,25,2,13,0.5307798891528107,55.34
109.78,217.9,24.1,33.02,44.26,28.0,12.67,9.3,40.0,6.64,10.31,358.0,Very Poor,2015,3,26,3,13,0.5015075376884423,57.120000000000005
62.27,117.81,12.01,24.76,27.71,27.34,9.29,10.91,31.08,4.14,4.26,287.0,Poor,2015,3,27,4,13,0.524114131807087,36.77
102.22,212.96,22.14,29.41,40.44,32.82,10.47,17.16,40.23,3.87,9.33,323.0,Very Poor,2015,3,28,5,13,0.47775285100018694,51.55
104.36,202.01,23.55,33.86,43.2,37.35,14.42,16.92,32.84,3.96,9.87,360.0,Very Poor,2015,3,29,6,13,0.5140633466331708,57.41
44.19,57.0,7.11,17.6,19.91,28.77,9.58,7.75,26.81,1.45,3.4,268.0,Poor,2015,3,30,0,14,0.7618965517241378,24.71
55.66,78.64,10.22,20.13,26.74,30.62,9.56,9.34,34.15,2.01,4.89,283.0,Poor,2015,3,31,1,14,0.6988950276243093,30.35
112.86,167.6,24.6,32.71,45.12,36.05,10.15,19.48,38.45,4.04,9.07,309.0,Very Poor,2015,4,1,2,14,0.6693950177935943,57.31
78.51,112.78,9.82,20.54,27.51,31.04,6.72,14.37,35.54,2.17,4.2,249.0,Poor,2015,4,2,3,14,0.6900158200035156,30.36
66.52,76.05,11.21,18.47,27.79,35.48,8.24,10.62,24.85,2.32,5.02,245.0,Poor,2015,4,3,4,14,0.863335496430889,29.68
62.56,86.11,10.66,24.96,30.36,28.46,5.52,12.94,27.98,2.39,6.04,229.0,Poor,2015,4,4,5,14,0.7181724256686948,35.620000000000005
78.61,145.1,13.0,27.75,39.45,32.3,7.97,16.72,40.79,3.3,8.08,234.0,Poor,2015,4,5,6,14,0.5380561259411363,40.75
119.7,195.47,34.3,32.83,59.96,44.66,11.01,16.63,30.32,5.7,14.32,343.0,Very Poor,2015,4,6,0,15,0.6092533211177279,67.13
66.09,95.81,7.57,24.47,30.04,29.78,7.29,8.34,43.23,1.89,4.65,262.0,Poor,2015,4,7,1,15,0.6826774093585374,32.04
95.34,120.2,11.64,34.72,37.7,24.84,9.28,17.99,61.68,2.72,7.17,308.0,Very Poor,2015,4,8,2,15,0.7866336633663367,46.36
63.57,148.17,11.33,35.15,41.13,30.04,6.57,10.48,35.18,2.45,6.82,293.0,Poor,2015,4,9,3,15,0.42615807467989547,46.48
96.56,203.67,17.46,52.77,62.06,30.32,4.63,15.8,59.88,3.47,9.68,290.0,Poor,2015,4,10,4,15,0.47178384716861294,70.23
131.39,234.65,22.86,59.52,72.68,34.01,5.84,21.5,73.72,4.56,14.16,375.0,Very Poor,2015,4,11,5,15,0.5575641841714406,82.38
75.35,91.73,9.63,45.3,40.75,28.79,7.73,13.08,49.21,1.98,6.71,293.0,Poor,2015,4,12,6,15,0.8125741399762751,54.93
86.49,116.62,14.18,50.3,56.07,38.86,3.67,14.99,62.52,2.5,8.84,247.0,Poor,2015,4,13,0,16,0.7353341268491752,64.47999999999999
77.07,132.68,13.41,42.65,50.06,36.68,6.85,14.04,55.44,2.13,7.25,232.0,Poor,2015,4,14,1,16,0.5765260323159783,56.06
98.79,161.43,18.39,47.41,45.1,34.8,11.65,13.75,31.14,2.4,7.07,316.0,Very Poor,2015,4,15,2,16,0.6082004555808657,65.8
81.81,164.56,18.2,44.06,58.92,37.84,5.94,21.44,59.29,2.64,10.67,295.0,Poor,2015,4,16,3,16,0.49414109688330515,62.260000000000005
65.78,180.67,18.75,40.09,55.98,30.04,7.38,14.34,54.47,3.23,10.23,246.0,Poor,2015,4,17,4,16,0.36208509935597516,58.84
119.82,268.65,26.27,51.11,66.92,28.99,8.21,17.21,65.72,4.32,13.89,378.0,Very Poor,2015,4,18,5,16,0.44435379195253105,77.38
125.53,308.82,32.69,64.73,87.58,34.39,8.84,18.02,65.08,4.88,17.48,406.0,Severe,2015,4,19,6,16,0.40517074430314376,97.42
121.51,336.63,18.14,60.41,68.41,33.63,6.75,20.98,87.04,3.08,10.2,392.0,Very Poor,2015,4,20,0,17,0.35989100494624293,78.55
114.5,327.81,23.52,50.7,63.45,30.3,6.84,19.38,74.49,4.22,13.04,391.0,Very Poor,2015,4,21,1,17,0.34822541893494724,74.22
101.83,279.41,26.26,55.27,72.67,24.36,7.36,19.29,69.41,4.74,14.52,368.0,Very Poor,2015,4,22,2,17,0.3631468207267929,81.53
118.57,273.68,33.93,76.46,96.19,29.32,6.58,21.81,76.14,5.0,18.21,365.0,Very Poor,2015,4,23,3,17,0.43166593854667246,110.38999999999999
143.22,313.53,42.58,88.61,108.55,36.5,6.42,26.89,89.42,5.63,22.15,383.0,Very Poor,2015,4,24,4,17,0.4553460719168283,131.19
106.76,318.88,22.5,58.87,71.34,37.0,6.75,17.56,93.54,3.15,12.73,367.0,Very Poor,2015,4,25,5,17,0.33375015630861576,81.37
65.36,160.3,13.17,31.23,38.68,32.83,8.44,12.67,77.43,1.9,6.65,334.0,Very Poor,2015,4,26,6,17,0.40520768753874764,44.4
67.08,174.5,13.18,35.54,44.09,32.27,4.76,11.92,70.74,1.86,6.09,258.0,Poor,2015,4,27,0,18,0.3822222222222222,48.72
81.37,141.25,11.98,34.88,43.91,29.46,4.67,13.97,70.42,1.66,6.08,234.0,Poor,2015,4,28,1,18,0.5720210896309315,46.86
63.76,131.56,12.09,42.98,51.34,29.93,7.16,13.98,61.86,1.94,7.31,257.0,Poor,2015,4,29,2,18,0.4809897404948702,55.06999999999999
60.56,171.42,12.0,43.9,48.72,29.08,7.33,12.85,60.18,2.03,6.47,259.0,Poor,2015,4,30,3,18,0.35123535552720103,55.9
76.1,192.81,13.14,42.99,52.01,26.55,7.63,13.1,53.16,2.02,9.5,279.0,Poor,2015,5,1,4,18,0.3926525979051648,56.13
72.66,206.1,25.56,62.09,76.22,26.99,9.46,16.16,43.06,3.47,15.83,312.0,Very Poor,2015,5,2,5,18,0.3508450024142926,87.65
121.94,334.02,52.12,83.3,100.84,35.46,11.95,19.43,41.71,6.62,32.11,372.0,Very Poor,2015,5,3,6,18,0.3639782699540326,135.42
108.98,326.71,52.0,85.5,112.64,31.33,8.08,17.53,37.7,6.19,26.87,387.0,Very Poor,2015,5,4,0,19,0.33255012053339844,137.5
145.99,366.85,75.13,107.85,150.76,35.82,6.65,26.0,50.27,7.43,35.57,408.0,Severe,2015,5,5,1,19,0.39687372570341173,182.98
171.33,346.98,53.42,87.88,122.67,39.27,7.1,25.26,92.66,5.92,28.97,398.0,Very Poor,2015,5,6,2,19,0.49235588252198403,141.3
117.76,343.12,19.74,63.18,73.07,35.52,9.64,24.63,75.6,3.99,12.65,403.0,Severe,2015,5,7,3,19,0.34220620713704525,82.92
90.66,305.38,25.55,56.54,73.9,30.52,6.65,20.79,74.84,3.96,8.6,361.0,Very Poor,2015,5,8,4,19,0.2959070435407011,82.09
106.4,285.38,43.33,63.57,96.25,34.25,9.35,18.15,76.38,4.09,11.93,378.0,Very Poor,2015,5,9,5,19,0.3715343250226971,106.9
101.21,283.47,20.83,57.51,65.08,31.32,10.6,16.92,67.97,3.3,10.36,381.0,Very Poor,2015,5,10,6,19,0.35578444124160713,78.34
97.57,336.82,11.91,42.7,48.43,36.11,8.79,15.11,87.93,2.21,5.94,388.0,Very Poor,2015,5,11,0,20,0.28882244982535077,54.61
96.34,293.26,11.54,43.04,48.09,52.21,6.27,10.84,83.43,1.74,5.4,346.0,Very Poor,2015,5,12,1,20,0.32739753959083806,54.58
83.42,174.52,10.5,48.61,45.79,56.95,8.14,9.08,55.62,2.29,7.15,328.0,Very Poor,2015,5,13,2,20,0.4752734731084777,59.11
78.06,196.08,16.38,42.22,53.26,47.74,7.24,10.42,57.1,2.49,7.56,291.0,Poor,2015,5,14,3,20,0.3960828090115689,58.599999999999994
97.87,240.34,27.46,63.55,81.14,44.08,10.81,15.02,77.87,3.2,11.05,396.0,Very Poor,2015,5,15,4,20,0.4055274716168062,91.00999999999999
77.52,186.28,24.05,75.5,91.36,41.94,6.17,15.03,73.24,2.16,5.81,297.0,Poor,2015,5,16,5,20,0.41392567278940623,99.55
97.16,188.39,15.83,57.63,65.15,43.23,8.4,20.15,70.29,1.68,4.74,345.0,Very Poor,2015,5,17,6,20,0.513015470721791,73.46000000000001
66.85,172.35,9.2,47.64,55.88,40.95,7.46,15.04,79.02,1.69,3.99,296.0,Poor,2015,5,18,0,21,0.3856359965387943,56.84
89.85,240.31,16.42,75.47,70.51,40.32,8.04,14.58,79.55,1.82,5.59,319.0,Very Poor,2015,5,19,1,21,0.3723426298122746,91.89
67.41,176.25,21.7,52.69,60.6,42.24,6.11,20.3,57.17,2.01,4.94,282.0,Poor,2015,5,20,2,21,0.38031029619181944,74.39
75.54,335.13,27.16,53.03,63.55,56.95,8.25,14.85,42.61,2.16,5.19,352.0,Very Poor,2015,5,21,3,21,0.22473447773182997,80.19
67.91,235.99,34.97,56.84,77.1,45.91,8.32,14.77,64.34,1.8,3.94,338.0,Very Poor,2015,5,22,4,21,0.28655217519726567,91.81
69.02,313.73,38.94,52.79,75.32,36.5,7.06,10.73,66.63,1.52,3.62,321.0,Very Poor,2015,5,23,5,21,0.21929908175261334,91.72999999999999
79.1,251.52,32.09,56.29,69.04,37.22,8.56,18.96,60.08,7.08,7.12,295.0,Poor,2015,5,24,6,21,0.3132425154443212,88.38
117.27,340.66,51.72,60.65,102.66,40.26,7.66,11.78,95.72,1.69,5.27,344.0,Very Poor,2015,5,25,0,22,0.34323596557981617,112.37
96.09,311.08,24.98,51.77,70.51,33.51,5.25,9.9,79.4,1.59,3.57,337.0,Very Poor,2015,5,26,1,22,0.307901820046142,76.75
84.71,231.35,42.01,70.43,91.54,29.05,8.54,17.48,80.71,2.44,5.37,355.0,Very Poor,2015,5,27,2,22,0.36457929847213255,112.44
182.76,436.17,54.87,72.67,100.54,35.74,6.89,14.33,83.33,2.5,6.62,371.0,Very Poor,2015,5,28,3,22,0.41805247386600175,127.53999999999999
106.61,275.6,37.21,64.94,87.55,41.74,8.48,12.9,76.1,1.94,5.71,414.0,Severe,2015,5,29,4,22,0.3854302241503976,102.15
92.68,239.12,47.05,65.26,103.71,40.66,7.59,17.68,69.95,2.59,7.66,366.0,Very Poor,2015,5,30,5,22,0.3859736798267533,112.31
73.62,236.8,19.04,41.86,52.3,36.27,7.12,13.08,87.47,1.66,3.31,346.0,Very Poor,2015,5,31,6,22,0.3095878889823381,60.9
49.42,175.39,15.74,48.55,61.72,35.12,5.03,9.96,72.89,1.26,3.71,289.0,Poor,2015,6,1,0,23,0.2801746130733035,64.28999999999999
52.51,117.86,18.64,54.29,68.84,46.09,6.67,6.73,56.2,1.51,3.98,297.0,Poor,2015,6,2,1,23,0.44178024566717145,72.93
65.28,137.7,24.46,65.25,91.72,54.47,4.98,6.31,41.92,1.8,5.8,268.0,Poor,2015,6,3,2,23,0.47065609228550837,89.71000000000001
85.45,170.55,15.02,62.38,71.04,57.58,3.83,5.53,63.0,3.19,8.0,259.0,Poor,2015,6,4,3,23,0.49810550859807634,77.4
83.02,241.67,16.05,62.63,52.93,75.0,11.36,4.12,52.03,2.6,7.32,327.0,Very Poor,2015,6,5,4,23,0.34211068529278443,78.68
44.54,119.29,11.64,46.37,46.37,71.88,11.94,7.37,37.09,2.38,6.02,384.0,Very Poor,2015,6,6,5,23,0.3702718430459722,58.01
85.03,186.2,25.76,77.07,91.29,46.57,3.51,9.53,88.63,2.43,6.95,299.0,Poor,2015,6,7,6,23,0.4542200854700855,102.83
137.7,269.3,52.45,109.34,109.95,50.63,1.56,10.44,86.2,2.82,9.42,282.0,Poor,2015,6,8,0,24,0.5094339622641508,161.79000000000002
136.05,393.7,45.61,76.88,83.43,46.56,1.38,8.84,58.0,2.75,6.91,442.0,Severe,2015,6,9,1,24,0.3446921712693185,122.49
63.77,166.31,12.93,31.27,34.21,43.33,2.58,5.91,56.84,1.83,3.83,309.0,Very Poor,2015,6,10,2,24,0.3811487657641504,44.2
115.57,259.73,4.41,32.99,26.63,35.31,1.24,6.02,138.5,1.52,3.79,270.0,Poor,2015,6,11,3,24,0.44325547501246493,37.400000000000006
83.29,180.06,14.51,36.36,37.13,40.11,1.19,5.52,68.6,1.86,4.5,239.0,Poor,2015,6,12,4,24,0.46001325527449466,50.87
73.7,158.24,24.38,52.9,64.56,41.36,1.36,5.34,53.02,1.71,5.25,214.0,Poor,2015,6,13,5,24,0.46282341120321524,77.28
74.56,121.44,15.9,68.76,71.74,56.02,1.35,5.33,60.88,1.63,6.44,166.0,Moderate,2015,6,14,6,24,0.6089513230970272,84.66000000000001
106.11,206.42,17.76,72.79,73.34,60.68,1.62,6.3,86.86,2.8,8.15,234.0,Poor,2015,6,15,0,25,0.5115707260630605,90.55000000000001
132.21,282.05,45.43,81.57,109.14,59.1,1.73,6.16,82.42,4.07,13.65,331.0,Very Poor,2015,6,16,1,25,0.4670906200317965,127.0
123.56,271.79,32.84,70.96,82.45,55.88,1.57,6.95,74.01,3.18,8.21,327.0,Very Poor,2015,6,17,2,25,0.45294915502767696,103.8
132.21,268.84,34.59,94.25,108.25,59.55,1.82,9.31,87.24,3.87,10.16,313.0,Very Poor,2015,6,18,3,25,0.48995701156240745,128.84
110.65,216.46,10.75,65.21,61.04,55.65,1.38,7.8,76.58,2.17,5.76,284.0,Poor,2015,6,19,4,25,0.5088292099696496,75.96
80.31,160.22,5.92,52.7,45.57,48.06,1.29,10.22,69.37,1.17,4.34,239.0,Poor,2015,6,20,5,25,0.4981391886862672,58.620000000000005
59.73,82.7,7.05,50.78,40.03,66.21,1.59,6.11,52.78,1.08,4.73,149.0,Moderate,2015,6,21,6,25,0.7136200716845877,57.83
85.4,139.2,10.93,58.88,56.1,50.28,1.34,6.18,59.49,1.66,7.01,172.0,Moderate,2015,6,22,0,26,0.6091298145506421,69.81
101.99,152.18,18.2,61.18,67.45,51.94,1.41,7.9,77.04,2.42,7.98,226.0,Poor,2015,6,23,1,26,0.6658179919049484,79.38
126.07,214.45,14.98,60.31,86.44,62.47,1.37,8.09,83.13,2.45,7.86,261.0,Poor,2015,6,24,2,26,0.5851473659781852,75.29
37.59,62.38,17.17,44.72,104.26,50.86,1.25,7.67,46.7,1.69,5.27,188.0,Moderate,2015,6,25,3,26,0.5930893026191227,61.89
76.0,182.48,32.6,46.88,101.06,45.56,1.04,6.84,60.99,2.08,6.36,192.0,Moderate,2015,6,26,4,26,0.4142140832788315,79.48
